p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
4.15E-80,0.374262636,0.477,0.294,1.24E-75,0,PRKCB
9.42E-79,0.393601727,0.38,0.21,2.82E-74,0,SLC35F3
2.22E-78,0.361778834,0.312,0.16,6.64E-74,0,LURAP1L-AS1
3.58E-78,0.383092195,0.637,0.449,1.07E-73,0,GRIN2B
1.54E-77,0.322752531,0.447,0.273,4.61E-73,0,SLC41A2
3.62E-77,0.299226229,0.399,0.23,1.08E-72,0,KIF5A
7.95E-77,0.306772939,0.488,0.299,2.38E-72,0,NSG2
1.59E-76,0.277376309,0.287,0.144,4.76E-72,0,TMEM59L
2.22E-75,0.453166779,0.656,0.462,6.65E-71,0,CSMD3
5.90E-75,0.539556086,0.779,0.624,1.77E-70,0,NRXN3
6.76E-75,0.45418706,0.597,0.407,2.02E-70,0,PTCHD1-AS
1.48E-74,0.313467957,0.389,0.228,4.44E-70,0,MROH1
1.66E-74,0.363227622,0.55,0.372,4.98E-70,0,SNAP25
2.30E-74,0.295920997,0.984,0.934,6.89E-70,0,GPHN
4.49E-73,0.353784157,0.975,0.954,1.34E-68,0,FTX
6.35E-73,0.376332183,0.488,0.324,1.90E-68,0,SEZ6L2
7.44E-73,0.308939712,0.891,0.78,2.22E-68,0,CMIP
5.88E-72,0.325391762,0.443,0.274,1.76E-67,0,CPEB3
1.53E-71,0.316984762,0.403,0.227,4.58E-67,0,AC022639.1
1.95E-71,0.294450914,0.655,0.478,5.84E-67,0,MIAT
7.04E-71,0.390316591,0.53,0.367,2.11E-66,0,ATP1B1
1.47E-70,0.263602889,0.276,0.137,4.40E-66,0,CCDC85A
5.40E-70,0.280774489,0.249,0.12,1.61E-65,0,AC006148.1
5.32E-69,0.345043617,0.523,0.331,1.59E-64,0,GRIA4
1.05E-68,0.315501694,0.787,0.603,3.14E-64,0,PHACTR1
2.66E-68,0.349599825,0.846,0.757,7.97E-64,0,CELF1
8.78E-68,0.308587942,0.472,0.302,2.63E-63,0,ARHGAP44
1.32E-67,0.29635279,0.9,0.797,3.95E-63,0,ERC1
3.37E-67,0.252599241,0.282,0.144,1.01E-62,0,ZBTB7C
2.66E-66,0.325454825,0.461,0.29,7.95E-62,0,GPR158
1.70E-64,0.339866557,0.509,0.346,5.10E-60,0,6-Sep
9.85E-64,0.292764608,0.86,0.736,2.95E-59,0,MYCBP2
1.92E-63,0.251732881,0.294,0.159,5.73E-59,0,MAP7D2
3.92E-63,0.402364743,0.604,0.479,1.17E-58,0,AEBP2
7.06E-62,0.452407476,0.408,0.25,2.11E-57,0,GPC5
7.54E-62,0.331308666,0.739,0.608,2.26E-57,0,SPTAN1
9.30E-62,0.302307025,0.447,0.286,2.78E-57,0,SYN2
9.72E-62,0.304231779,0.92,0.834,2.91E-57,0,PTPRS
1.06E-61,0.356969419,0.293,0.158,3.17E-57,0,NELL1
1.66E-61,0.295734847,0.289,0.154,4.98E-57,0,GAD1
1.21E-60,0.280396689,0.37,0.221,3.62E-56,0,LHFPL4
2.49E-60,0.313453483,0.85,0.721,7.44E-56,0,FBXL17
4.32E-60,0.331505006,0.906,0.842,1.29E-55,0,SIK3
5.63E-60,0.309268407,0.633,0.479,1.69E-55,0,SNAP91
8.85E-60,0.271802363,0.473,0.305,2.65E-55,0,DYNC1I1
1.17E-59,0.338723192,0.514,0.345,3.51E-55,0,IQCJ-SCHIP1
3.45E-59,0.31970064,0.836,0.742,1.03E-54,0,CCDC88A
8.26E-59,0.293491146,0.373,0.231,2.47E-54,0,SHANK1
4.22E-57,0.302337781,0.474,0.322,1.26E-52,0,FRRS1L
6.69E-57,0.341487126,0.566,0.429,2.00E-52,0,ESYT2
1.68E-56,0.291852739,0.49,0.338,5.02E-52,0,DNAJC6
2.12E-56,0.271998231,0.876,0.776,6.35E-52,0,HERC1
2.81E-56,0.267343868,0.853,0.705,8.40E-52,0,SORBS2
5.79E-56,0.251363276,0.305,0.176,1.73E-51,0,CLSTN3
6.85E-56,0.324816043,0.676,0.551,2.05E-51,0,ATP9A
3.98E-55,0.345304809,0.476,0.33,1.19E-50,0,PLEKHA6
1.01E-54,0.3316096,0.291,0.162,3.02E-50,0,RIT2
2.77E-54,0.335749816,0.574,0.447,8.29E-50,0,DNM1
4.77E-54,0.306800881,0.353,0.217,1.43E-49,0,CALN1
4.22E-53,0.307003645,0.546,0.392,1.26E-48,0,HIVEP3
2.43E-52,0.318794897,0.759,0.658,7.26E-48,0,AC124312.1
2.80E-52,0.368647767,0.571,0.451,8.36E-48,0,KLHDC10
3.78E-52,0.311773001,0.582,0.447,1.13E-47,0,PDE8A
6.21E-52,0.289240393,0.716,0.567,1.86E-47,0,CPE
7.46E-52,0.356113353,0.81,0.677,2.23E-47,0,CNTNAP2
1.44E-51,0.305582489,0.815,0.715,4.32E-47,0,KIF1A
9.59E-51,0.257143291,0.983,0.944,2.87E-46,0,TTC3
1.06E-50,0.253230317,0.34,0.207,3.17E-46,0,PTPRE
1.30E-50,0.28951973,0.884,0.799,3.89E-46,0,RABGAP1L
7.07E-50,0.307456512,0.715,0.601,2.11E-45,0,ANKRD36C
1.24E-49,0.280628481,0.505,0.361,3.70E-45,0,ATCAY
3.92E-49,0.298470866,0.523,0.374,1.17E-44,0,KCNIP1
5.63E-49,0.2710382,0.36,0.232,1.68E-44,0,SRCIN1
3.14E-48,0.2663652,0.972,0.932,9.40E-44,0,TNRC6A
6.46E-48,0.283126168,0.999,0.994,1.93E-43,0,MAP1B
8.68E-48,0.269796516,0.813,0.693,2.60E-43,0,BASP1
4.70E-47,0.305938415,0.606,0.489,1.41E-42,0,CTIF
4.91E-47,0.301112486,0.57,0.44,1.47E-42,0,APBA1
1.01E-46,0.276261631,0.777,0.676,3.01E-42,0,TRAPPC9
1.47E-46,0.280542706,0.908,0.824,4.41E-42,0,SMYD3
1.70E-46,0.279617513,0.767,0.677,5.10E-42,0,ANKIB1
1.72E-46,0.28551394,0.735,0.631,5.13E-42,0,RAB6A
1.74E-46,0.401557851,0.489,0.369,5.20E-42,0,LINC-PINT
3.15E-46,0.295644441,0.941,0.829,9.43E-42,0,1-Mar
9.81E-46,0.28485816,0.537,0.413,2.93E-41,0,PREPL
1.57E-45,0.43607726,0.548,0.396,4.69E-41,0,SNTG1
